Epoch,Train_Loss,Val_MAE,Val_RMSE,Val_R2,Learning_Rate
1,15.4778525018692,11.40795768928528,14.020231768507713,0.6973099540052541,0.001
2,8.854224546432494,8.503137199401856,10.997590300405452,0.8137557701080843,0.001
3,8.685287368774414,11.815351949691772,14.488884784016339,0.676735755361697,0.001
4,8.391727743148804,7.764126165390015,9.904665411677144,0.8489337766942584,0.001
5,8.219934487342835,7.506089714050293,9.636840209192068,0.856993074743393,0.0009000000000000001
6,7.99381950378418,7.502597270965576,9.696777419192713,0.8552086534310457,0.0009000000000000001
7,7.84939868927002,7.078755781173706,9.405743118849825,0.8637696161368187,0.0009000000000000001
8,7.811172217369079,7.451106422424316,9.880880252982417,0.8496584492908991,0.0009000000000000001
9,7.642434670448303,8.74242036628723,10.818779094773152,0.8197628715124128,0.0008100000000000001
10,7.447015575408935,8.119429025650025,10.51848263790883,0.8296296787999382,0.0008100000000000001
11,7.351632287025452,8.322986963272095,10.43592910956263,0.8322934619443956,0.0008100000000000001
12,7.320010187149048,7.320901148796081,9.458368870520314,0.8622409155531625,0.0008100000000000001
13,7.151302803993225,8.32696388244629,10.248466231566812,0.8382644453384813,0.000729
14,7.075823977470398,7.185419694900513,9.27487011456475,0.8675343038293166,0.000729
15,6.954206056594849,7.176167098999024,9.530094860553671,0.8601436465690309,0.000729
16,6.886561110973358,7.525562030792236,9.460818852189416,0.8621695394103694,0.000729
17,6.719429682731628,8.296459272384643,10.325237119449076,0.8358322593050747,0.0006561000000000001
18,6.616538570404053,7.908514656066894,9.930229828279083,0.8481529519805358,0.0006561000000000001
19,6.505310789108276,7.236974821090699,9.505320442282255,0.8608698421057279,0.0006561000000000001
20,6.4382206163406375,7.784177669525146,10.050832229199973,0.8444421970285627,0.0006561000000000001
21,6.319106758117676,7.498598834991455,9.613885543298604,0.8576735398128899,0.00059049
22,6.177312048912048,7.784536710739136,9.923621862004486,0.8483549747611856,0.00059049
23,6.154542060852051,7.688173166275025,9.716307171533257,0.8546248333400959,0.00059049
24,6.073506882667542,7.209322528839111,9.551581146375904,0.859512303205672,0.00059049
